Мегаладон, 1796029857, /hi
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /hello
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /time
Мегаладон, 1796029857, /time
Мегаладон, 1796029857, /time
Мегаладон, 1796029857, /time
Мегаладон, 1796029857, /time
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /hi
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /sum 123 321
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /calc r 3/5 5/3 *
Мегаладон, 1796029857, /calc r 3/5 5/3 *
Мегаладон, 1796029857, /help
Мегаладон, 1796029857, /calc_help
Мегаладон, 1796029857, /calc r 5/3 9/2 *
Мегаладон, 1796029857, /calc c 10+5j 5+3j *
02:06, Мегаладон, 1796029857, /sum_help
02:06, Мегаладон, 1796029857, /sum 3 4
13:22, Мегаладон, 1796029857, /dict s Number 45
13:22, Мегаладон, 1796029857, /dict d 2 ({'FIO': 'ШаковВ.С.', 'Number': '375339854212', 'Jobs': 'Квартира', 'Money': '2500'})
13:23, Мегаладон, 1796029857, /dict w
13:23, Мегаладон, 1796029857, /dict a ШпакС.И. 375299854123 Работа 2100
13:24, Мегаладон, 1796029857, /dict s FIO нь
13:30, Мегаладон, 1796029857, /help
13:30, Мегаладон, 1796029857, /dict_help
13:31, Мегаладон, 1796029857, /calc_help
